ClassNumber,Mnemonic,Number,Section,Type,Units,Instructor,Days,Room,Title,Topic,Status,Enrollment,EnrollmentLimit,Waitlist
19605,LPPP,7559,2,Lecture,3,Brad Carson,Tu 3:30PM - 6:00PM,Monroe Hall 122,New Course in Public Policy and Leadership,Military Power and War,Open,13,20,0
20065,LPPP,7559,3,Lecture,3,Brian Williams,Tu 3:30PM - 6:00PM,New Cabell Hall 332,New Course in Public Policy and Leadership,CoProductn:Public&NonProf Svc,Open,15,30,0
20128,LPPP,7559,4,Lecture,3,Harry Harding,Th 2:00PM - 4:30PM,Bryan Hall 312,New Course in Public Policy and Leadership,Leadershp Amer Policy to China,Open,2,18,0
19810,LPPP,7600,1,Independent Study,3,Leora Friedberg,TBA,TBA,Thesis Project,,Closed,13,13,0
19812,LPPP,7600,2,Independent Study,3,Kirsten Gelsdorf,TBA,TBA,Thesis Project,,Closed,13,13,0
19813,LPPP,7600,3,Independent Study,3,Jeanine Braithwaite,TBA,TBA,Thesis Project,,Closed,11,11,0
19814,LPPP,7600,4,Independent Study,3,D Tello-Trillo,TBA,TBA,Thesis Project,,Closed,13,13,0
19815,LPPP,7600,5,Independent Study,3,Lucy Bassett,TBA,TBA,Thesis Project,,Closed,13,13,0
19816,LPPP,7600,6,Independent Study,3,Andrew Pennock,TBA,TBA,Thesis Project,,Closed,13,13,0
19318,LPPP,7610,1,Seminar,3,Leora Friedberg,Mo 3:30PM - 6:00PM,The Rotunda Room 152,Applied Policy Project,,Closed,13,13,0
19319,LPPP,7610,2,Seminar,3,Kirsten Gelsdorf,We 5:00PM - 7:30PM,Campbell Hall 108,Applied Policy Project,,Closed,13,13,0
19320,LPPP,7610,3,Seminar,3,Jeanine Braithwaite,Tu 3:30PM - 6:00PM,The Rotunda Room 152,Applied Policy Project,,Closed,11,11,0
19321,LPPP,7610,4,Seminar,3,D Tello-Trillo,Th 9:00AM - 11:30AM,Contact Department,Applied Policy Project,,Closed,13,13,0
19322,LPPP,7610,5,Seminar,3,Lucy Bassett,Th 2:00PM - 4:30PM,The Rotunda Room 152,Applied Policy Project,,Closed,13,13,0
19323,LPPP,7610,6,Seminar,3,Andrew Pennock,Fr 9:00AM - 11:30AM,Monroe Hall 122,Applied Policy Project,,Closed,13,13,0
20838,LPPP,7993,3,Independent Study,6-Jan,Jeanine Braithwaite,TBA,TBA,Independent Study,,Open,4,6,0
20842,LPPP,7993,4,Independent Study,6-Jan,Raymond Scheppach,TBA,TBA,Independent Study,,Open,1,2,0
19601,LPPS,3050,1,Seminar,3,Balashankar Mulloth,Th 3:30PM - 6:00PM,Gilmer Hall 141,Introduction to Social Entrepreneurship,,Open,53,55,27
18818,LPPS,3240,1,Lecture,3,Brad Carson,TuTh 12:30PM - 1:45PM,McLeod Hall 1004,Terrorism and Counterterrorism,,Open,48,50,4
18819,LPPS,3241,1,Lecture,3,Andrew Reynolds,Mo 5:00PM - 7:30PM,Mechanical Engineering 305,Science and Technology Policy for Interns,,Open,1,10,0
20001,LPPS,3280,100,Lecture,3,Larry Sabato,MoWe 2:00PM - 2:50PM,Minor Hall 125,Lessons in Leadership: JFK and the Most Personal Office,,Open,148,150,4
20002,LPPS,3280,101,Discussion,0,Maia Rosewelsh,Mo 5:00PM - 5:50PM,Monroe Hall 118,Lessons in Leadership: JFK and the Most Personal Office,,Wait List,27,27,3
20003,LPPS,3280,102,Discussion,0,Brett Curtis,Mo 7:00PM - 7:50PM,New Cabell Hall 368,Lessons in Leadership: JFK and the Most Personal Office,,Wait List,25,25,2
20005,LPPS,3280,103,Discussion,0,Charlotte deButts,Tu 5:00PM - 5:50PM,New Cabell Hall 338,Lessons in Leadership: JFK and the Most Personal Office,,Wait List,26,26,1
20006,LPPS,3280,104,Discussion,0,Maia Rosewelsh,Tu 7:00PM - 7:50PM,New Cabell Hall 395,Lessons in Leadership: JFK and the Most Personal Office,,Open,22,23,0
20007,LPPS,3280,105,Discussion,0,Charlotte deButts,We 5:00PM - 5:50PM,New Cabell Hall 368,Lessons in Leadership: JFK and the Most Personal Office,,Wait List,25,25,2
20008,LPPS,3280,106,Discussion,0,Brett Curtis,Th 5:00PM - 5:50PM,New Cabell Hall 168,Lessons in Leadership: JFK and the Most Personal Office,,Open,23,24,0
18820,LPPS,3290,1,Lecture,3,Balashankar Mulloth,Tu 3:30PM - 6:00PM,McLeod Hall 1004,Social Innovation in Emerging Markets: India and South East Asia,,Wait List,55,55,8
18821,LPPS,3295,1,Lecture,3,Kirsten Gelsdorf,TuTh 3:30PM - 4:45PM,Minor Hall 125,Global Humanitarian Crises Response,,Open,158,160,0
18822,LPPS,3410,1,Lecture,3,Steven Zausner,Mo 2:30PM - 5:00PM,McLeod Hall 1003,Innovation and Social Impact,,Open,38,40,3
19766,LPPS,3470,1,Lecture,3,Robert Powers,Th 3:30PM - 6:00PM,Rouss Hall 403,American Healthcare Syst: Challenges & Opportunities,,Open,27,48,0
18824,LPPS,4730,1,Lecture,3,Michael Nolde,Mo 3:30PM - 6:00PM,Wilson Hall 238,Impact Investing,,Wait List,30,30,6
18825,LPPS,4735,1,Lecture,3,Christine Mahoney,Tu 9:00AM - 11:30AM,Contact Department,Experiential Social Entrepreneurship,,Wait List,23,22,0
18826,LPPS,4735,2,Lecture,3,Christine Mahoney,Tu 2:30PM - 5:00PM,Gilmer Hall 166,Experiential Social Entrepreneurship,,Wait List,35,30,0
19754,LPPS,5460,1,Lecture,3,James Savage,We 6:00PM - 8:30PM,New Cabell Hall 207,The Politics of the Budgetary Process,,Open,3,4,0
18827,LPPS,6715,1,Seminar,3,Gerald Warburg,Tu 11:45AM - 2:15PM,Contact Department,Leadership in U.S. Foreign Policy: Best Practices for Advocates,,Wait List,22,22,0
19595,LPPS,7230,1,Lecture,3,Brooke Lehmann,Mo 2:00PM - 4:30PM,Claude Moore Nursing Educ 1120,US Mental Health Policy,,Open,9,20,0
